SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
37425,2023-09,82,목도백중놀이,목도백중놀이,130,문화축제
37426,2023-09,892,목포항구축제,목포항구축제,11210,문화축제
37427,2023-09,327,무장읍성축제,무장읍성축제,13,문화축제
37428,2023-09,174,무창포신비의바닷길축제,무창포신비의바닷길축제,1220,문화축제
37429,2023-09,579,문경사과축제,문경사과축제,30400,문화축제
37430,2023-09,577,문경약돌한우축제,문경약돌한우축제,6060,문화축제
37431,2023-09,578,문경오미자축제,문경오미자축제,36260,문화축제
37432,2023-09,576,문경찻사발축제,문경찻사발축제,740,문화축제
37433,2023-09,1054,민둥산억새꽃축제,민둥산억새꽃축제,4700,문화축제
37434,2023-09,128,밀양아리랑대축제,밀양아리랑대축제,280,문화축제
37435,2023-09,432,바다로 세계로,바다로세계로,130,문화축제
37436,2023-09,496,반딧불축제,반딧불축제,31950,문화축제
37437,2023-09,1033,배꼽축제,배꼽축제,2300,문화축제
37438,2023-09,756,배내골사과축제,배내골사과축제,50,문화축제
37439,2023-09,26,백양단풍축제,백양단풍축제,40,문화축제
37440,2023-09,277,백제 어울마당,백제어울마당,40,문화축제
37441,2023-09,38,백제문화제,백제문화제,111300,문화축제
37442,2023-09,522,벌교꼬막축제,벌교꼬막축제,1420,문화축제
37443,2023-09,640,법성포단오제,법성포단오제,70,문화축제
37444,2023-09,173,보령머드축제,보령머드축제,6770,문화축제
37445,2023-09,593,보석대축제,보석대축제,13,문화축제
37446,2023-09,519,보성다향대축제,보성다향대축제,190,문화축제
37447,2023-09,524,보성전어축제,보성전어축제,490,문화축제
37448,2023-09,521,보성차밭 빛축제,보성차밭빛축제,90,문화축제
37449,2023-09,722,보수동책방골목문화축제,보수동책방골목문화축제,14,문화축제
37450,2023-09,1116,보은대추축제,보은대추축제,49810,문화축제
37451,2023-09,1121,봉계한우불고기축제,봉계한우불고기축제,930,문화축제
37452,2023-09,914,봉산미술제,봉산미술제,14,문화축제
37453,2023-09,732,봉화송이축제,봉화송이축제,29710,문화축제
37454,2023-09,731,봉화은어축제,봉화은어축제,1150,문화축제
37455,2023-09,780,부산 차이나타운특구 문화축제,부산차이나타운특구문화축제,330,문화축제
37456,2023-09,1108,부산고등어축제,부산고등어축제,4420,문화축제
37457,2023-09,743,부산국제록페스티벌,부산국제록페스티벌,3530,문화축제
37458,2023-09,723,부산국제영화제 전야제,부산국제영화제전야제,140,문화축제
37459,2023-09,742,부산바다축제,부산바다축제,820,문화축제
37460,2023-09,744,부산불꽃축제,부산불꽃축제,136200,문화축제
37461,2023-09,724,부산자갈치축제,부산자갈치축제,5930,문화축제
37462,2023-09,726,부산크리스마스트리문화축제,부산크리스마스트리문화축제,12,문화축제
37463,2023-09,747,부산항축제,부산항축제,570,문화축제
